Package,Package Version,arn
slackclient,2.9.4,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-slackclient:11
loguru,0.7.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-loguru:1
aiobotocore,2.5.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-aiobotocore:17
xarray,2023.1.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-xarray:16
spacy,3.0.6,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-spacy:42
aiohttp,3.8.4,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-aiohttp:10
pycryptodome,3.18.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-pycryptodome:5
rdklib,0.3.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-rdklib:17
shapely,2.0.1,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-shapely:8
jinja2,3.1.2,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-jinja2:4
reportlab,3.6.13,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-reportlab:9
pymongo,4.3.3,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-pymongo:6
aws-psycopg2,1.3.8,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-aws-psycopg2:1
pulp,2.7.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-pulp:1
itsdangerous,2.1.2,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-itsdangerous:2
pygsheets,2.0.6,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-pygsheets:18
google-auth,2.19.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-google-auth:16
pytesseract,0.3.10,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-pytesseract:9
SQLAlchemy,2.0.15,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-SQLAlchemy:14
gremlinpython,3.6.4,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-gremlinpython:7
pysftp,0.2.9,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-pysftp:15
spacy_model_en_small,2.25,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-spacy_model_en_small:1
paramiko,2.7.2,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-paramiko:1
opencv-python-headless,4.2.0.34,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-opencv-python-headless:11
requests,2.31.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-requests:13
Cerberus,1.3.4,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-Cerberus:3
PyYAML,6.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-PyYAML:5
cloudsplaining,0.5.1,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-cloudsplaining:18
pyarrow,8.0.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-pyarrow:5
python-Levenshtein-wheels,0.13.2,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-python-Levenshtein-wheels:2
crhelper,2.0.11,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-crhelper:1
ccxt,3.1.16,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-ccxt:17
records,0.5.3,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-records:14
chevron,0.14.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-chevron:2
langdetect,1.0.9,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-langdetect:2
grpcio,1.54.2,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-grpcio:12
boto3,1.26.144,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-boto3:18
openpyxl,3.1.2,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-openpyxl:4
opensearch-py,2.2.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-opensearch-py:12
aws-requests-auth,0.4.3,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-aws-requests-auth:14
ffmpeg-python,0.2.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-ffmpeg-python:1
PyGithub,1.58.2,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-PyGithub:4
PyMySQL,1.0.3,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-PyMySQL:1
pydantic,1.9.1,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p38-pydantic:5
